,index,PNW
0,365,19705.268424399896
1,366,21774.11370129694
2,367,24778.833979520132
3,368,22720.25851952494
4,369,21396.25484324337
5,370,22026.872249439242
6,371,15578.126867737592
7,372,18128.92051822634
8,373,19693.38988231003
9,374,26103.48205529005
10,375,24793.00911657643
11,376,23044.569727326278
12,377,56451.344308163476
13,378,75576.74772681462
14,379,75841.59378602367
15,380,75508.69150057316
16,381,74804.44159914044
17,382,76540.706562381
18,383,87614.68774049828
19,384,97134.6778264737
20,385,98112.81685757951
21,386,98952.48777605071
22,387,108004.81485084834
23,388,133087.21539083277
24,389,134097.56423987105
25,390,121703.49084615114
26,391,114469.0870276975
27,392,114139.04528279733
28,393,101705.35040009282
29,394,91970.22560313705
30,395,93543.1568064045
31,396,83196.52768058305
32,397,68524.79622976654
33,398,65676.65934927625
34,399,58923.002502737654
35,400,55441.9595052658
36,401,59087.04423414558
37,402,60758.15530131027
38,403,59950.904337533764
39,404,58078.56710597701
40,405,63168.117190828314
41,406,67616.53601560244
42,407,67553.3704633938
43,408,74220.69037126482
44,409,81531.30620492931
45,410,82431.57835768884
46,411,90705.5242717641
47,412,113969.94865597671
48,413,118108.35854937001
49,414,110139.07841844446
50,415,98008.55910989796
51,416,91949.74906866872
52,417,87108.24869852915
53,418,84628.15513641908
54,419,81224.21624312465
55,420,79385.41127809594
56,421,82347.74346740815
57,422,80175.20019980294
58,423,70658.56868374813
59,424,72576.45261729974
60,425,32954.19672021753
61,426,34086.26621208957
62,427,33839.297559165134
63,428,32319.862979151338
64,429,33504.44820934153
65,430,42945.44811306028
66,431,50966.929780789986
67,432,49562.9315291105
68,433,49146.91200720277
69,434,46897.518174976096
70,435,42048.864167013584
71,436,49101.52559821763
72,437,42076.530787689175
73,438,56511.66723083984
74,439,57586.91082674173
75,440,71424.15799360903
76,441,65872.50817373054
77,442,60362.10996197106
78,443,58985.134952758555
79,444,56949.6119255606
80,445,58790.53276601745
81,446,53343.57956093742
82,447,50234.270747243645
83,448,26478.065378514293
84,449,35595.85429646894
85,450,26056.598517384846
86,451,35242.38963455244
87,452,30308.46874355593
88,453,35453.77441948478
89,454,29018.043375295412
90,455,7172.76783353521
91,456,0.0
92,457,0.0
93,458,0.0
94,459,0.0
95,460,0.0
96,461,10147.551169956554
97,462,68773.52444787294
98,463,62018.758627261006
99,464,69726.13349401254
100,465,74091.41982543796
101,466,76955.15406476703
102,467,72013.9771157949
103,468,61464.009742654016
104,469,57587.8401257713
105,470,32798.29633950713
106,471,28278.579749509445
107,472,22991.562436185573
108,473,23773.544756554445
109,474,31341.54575188228
110,475,32820.41349251146
111,476,28413.880626124796
112,477,29428.23979641238
113,478,30101.88740172585
114,479,35675.55022242581
115,480,32389.761007305468
116,481,30663.686951754862
117,482,27362.099395698082
118,483,28966.42329625829
119,484,27782.969506615045
120,485,0.0
121,486,0.0
122,487,0.0
123,488,0.0
124,489,10228.365091053987
125,490,26242.623870003226
126,491,36568.18630376278
127,492,35241.06342725582
128,493,30488.97300313355
129,494,29210.913330674113
130,495,24248.01534434517
131,496,18306.89552971092
132,497,12743.327907013896
133,498,7321.3712835402985
134,499,5181.038042988686
135,500,42856.36434818509
136,501,69790.91568394534
137,502,106624.682407961
138,503,125124.56681456465
139,504,131606.7822765991
140,505,133162.12406986323
141,506,143242.9149275428
142,507,163553.26525074584
143,508,152208.28185664435
144,509,165746.42123252683
145,510,159040.35319712732
146,511,180863.8143140809
147,512,167688.25115382118
148,513,175080.751656887
149,514,152335.26108735625
150,515,162858.27424068234
151,516,175136.2328897434
152,517,197581.69951886972
153,518,190745.5914491457
154,519,214403.86475442845
155,520,213250.5903012058
156,521,217487.10713661177
157,522,218167.6139367521
158,523,219063.54472389907
159,524,226640.37534886465
160,525,225082.08639806198
161,526,223895.00645918233
162,527,222597.1562972063
163,528,212404.35700524077
164,529,195911.5954216781
165,530,187804.7112150875
166,531,209986.0349274326
167,532,205948.17172688208
168,533,217171.38663750762
169,534,205473.2886043106
170,535,214608.27658080315
171,536,207124.58083027296
172,537,216709.37815718135
173,538,213682.3262942216
174,539,216997.17345932178
175,540,211783.76349287733
176,541,208860.22573906195
177,542,203388.12002468566
178,543,208705.00089124124
179,544,210668.63467988075
180,545,202892.93255724464
181,546,190070.04962763243
182,547,115563.32060470548
183,548,103379.99585110482
184,549,105379.17496949848
185,550,108687.13989120242
186,551,108017.0479982596
187,552,99884.97735214798
188,553,95653.0403365922
189,554,92807.63012116986
190,555,96920.37189617843
191,556,87009.52938742182
192,557,88261.22367162295
193,558,83314.4906236645
194,559,78859.07654023069
195,560,74134.22761409417
196,561,78926.97988301571
197,562,82736.91088477471
198,563,72930.48951691839
199,564,66852.91449011685
200,565,65054.536785228614
201,566,60724.01036940441
202,567,62554.20618163486
203,568,51212.167777091236
204,569,52077.95802524012
205,570,51455.05017780053
206,571,49264.002729941334
207,572,57053.27995884931
208,573,52351.11737449083
209,574,57383.46055015661
210,575,54702.773289521545
211,576,48631.47081419249
212,577,38527.65081584765
213,578,51765.82409075252
214,579,64576.66991642624
215,580,51871.95542282215
216,581,54537.16133595159
217,582,41180.25697494311
218,583,24742.360702860242
219,584,24471.592004181904
220,585,16901.22211691171
221,586,12413.543974893051
222,587,17339.60530252756
223,588,11121.983216244567
224,589,11630.57878217884
225,590,9839.39459841403
226,591,8887.614408331428
227,592,15581.293682171046
228,593,18623.649733810074
229,594,16846.699185422127
230,595,12027.013248442468
231,596,15663.031142600317
232,597,14523.432930422277
233,598,15803.662110010802
234,599,19194.49390814024
235,600,15391.662259001198
236,601,23666.533092382888
237,602,22305.505808120448
238,603,23388.378953451538
239,604,21647.54016757627
240,605,18907.892189172868
241,606,25475.430043390574
242,607,48226.05354071333
243,608,15858.60087314641
244,609,22111.098864824
245,610,22452.474582670955
246,611,17286.36777722543
247,612,11838.028512673991
248,613,14005.341132167421
249,614,12805.997711597898
250,615,16025.14983890648
251,616,18542.969950965373
252,617,15085.714453846682
253,618,12613.745733215503
254,619,11343.363749013908
255,620,10393.510759289973
256,621,10177.111706531345
257,622,9624.54780039411
258,623,9704.058397158398
259,624,9689.439663535813
260,625,10127.334820309829
261,626,10388.17020037159
262,627,11838.977572685835
263,628,12889.991534358996
264,629,13292.63620057526
265,630,14039.235000794419
266,631,29631.01101790603
267,632,42759.473580508915
268,633,38737.86876936602
269,634,35131.92498981417
270,635,35382.76514121055
271,636,39243.5775813926
272,637,39631.01674142908
273,638,43051.897759318075
274,639,49450.33194751626
275,640,49921.27233708439
276,641,45280.97143242296
277,642,43928.846163822134
278,643,49325.435357149196
279,644,47050.02647527386
280,645,44935.48798597697
281,646,42791.410363968724
282,647,45606.11762415255
283,648,46474.1533381029
284,649,39333.63787619691
285,650,38681.25476346449
286,651,37746.18033709722
287,652,35987.856986565224
288,653,34157.64288653279
289,654,33279.94554742372
290,655,35852.76951254871
291,656,35794.98408441123
292,657,39607.80117409723
293,658,40132.54807540325
294,659,41749.98021168563
295,660,40137.29820809295
296,661,40116.37797373001
297,662,39424.60397755046
298,663,38380.44210573075
299,664,35133.82047021782
300,665,33406.66758010918
301,666,30573.50838033689
302,667,29293.98389449519
303,668,30260.83781517303
304,669,26695.95454934756
305,670,23266.76461232947
306,671,20645.79238083966
307,672,21405.038767397084
308,673,22366.22318277562
309,674,21171.97993391985
310,675,19412.658547332554
311,676,22694.161676729054
312,677,30677.82050119668
313,678,30292.858414152608
314,679,28613.30412781819
315,680,27394.83278365503
316,681,24366.670242377353
317,682,21345.62822982369
318,683,14974.899171667115
319,684,14425.162943259595
320,685,15996.674488602293
321,686,15436.703029406402
322,687,12948.711769457732
323,688,10044.025904423732
324,689,8903.808658227295
325,690,6814.785623244912
326,691,1137.5224111915595
327,692,1876.2176030350383
328,693,13501.49411519122
329,694,17419.173480182086
330,695,15934.497336405591
331,696,7176.619742174182
332,697,6038.183254869917
333,698,2661.4651576586184
334,699,7337.3442504408595
335,700,15586.088878671755
336,701,12015.587821053225
337,702,16656.553419721575
338,703,12890.839154298359
339,704,16279.976973857847
340,705,16738.88388234732
341,706,39195.376596428134
342,707,42378.20059071909
343,708,34117.62086340765
344,709,27947.39895035213
345,710,29526.88072036751
346,711,25199.993158738187
347,712,20588.74406891642
348,713,20037.82496167501
349,714,19851.498627558
350,715,24376.519272903213
351,716,23532.129788491235
352,717,25005.18757924359
353,718,19676.517692416295
354,719,24568.44561527943
355,720,20392.947209414066
356,721,21868.040403251187
357,722,21378.71848454149
358,723,18655.813150447182
359,724,20632.055930650153
360,725,21133.806803515647
361,726,22843.970959408616
362,727,22984.903172758553
363,728,30171.41575758747
364,729,33058.4730174256
